question,answer
What is the highest package offered in the placement data?,The highest package offered is 12 LPA by rtCamp.
Which company offered the highest package and for which position?,rtCamp offered the highest package of 12 LPA for a software role.
How many students were placed in Category 1?,Three students were placed in Category 1.
What is the average package offered across all companies?,The average package offered across all companies is 5.59 LPA.
Which domain has the maximum number of students placed?,The software domain has the maximum number of students placed.
What is the median package offered to the students?,The median package offered is 5.5 LPA.
How many students received an offer letter?,A total of 38 students received offer letters.
What is the package range offered by Gateway Group of Companies?,Gateway Group of Companies offered a package range of 4 to 8 LPA.
Which student received an offer from both rtCamp and Simform Solution Pvt Ltd?,Mustafa Bharmal received offers from both rtCamp and Simform Solution Pvt Ltd.
"What is the placement category of Darshan Padia, and what was his package?",Darshan Padia was placed in Category 1 with a package of 10 LPA.
How many students are yet to be placed?,23 students are yet to be placed.
"What is the lowest package offered to any student, and which company offered it?",The lowest package offered is 3 LPA by Hyperlink Infocom Solution.
Which companies offered positions in the DevOps domain?,STP Web and Vistaran offered positions in the DevOps domain.
How many students received offers in the hardware domain?,Four students were placed in the hardware domain.
"Which student secured an 8.4 LPA package, and from which company?",Vrajkumar Pithwa secured a package of 8.4 LPA from ETECH Energy Consultancy Pvt Ltd.
"What is the role offered by eInfochips, and what was the package?",eInfochips offered the role of ASIC Engineer with a package of 4 LPA.
How many students were placed with packages above 8 LPA?,Five students were placed with packages above 8 LPA.
"Who received an offer for the role of ASIC Engineer, and which company hired them?","Dhruvkumar Vyas, Aryavardhan Sharma, Arpit Agrawat, and Samir Jivani were hired by eInfochips for the role of ASIC Engineer."
"Which companies hired web developers, and what were their package ranges?","Gateway Group of Companies and ETECH Energy Consultancy Pvt Ltd hired web developers with package ranges of 4–8 LPA and 7.2–8.4 LPA, respectively."
What is the domain of the placement category with the highest median package?,The software domain has the highest median package of 5.5 LPA.
"Which student received the second-highest package, and from which company?",Dev Mehta received the second-highest package of 12 LPA from rtCamp.
"Which company offered the widest package range, and to whom?",Gateway Group of Companies offered the widest package range (4–8 LPA) to multiple students.
What is the most common role offered in these placements?,The most common role offered was Software Developer.
"Which student has the unique role of 'Trainee Software,' and what was their package?",Meet Kalathiya has the role of 'Trainee Software' with a package of 6 LPA.
"What is the placement category of Bhakti Sukhadiya, and what was her package?",Bhakti Sukhadiya was placed in Category 3 with a package of 4 LPA.
How many students received packages between 5 and 10 LPA?,20 students received packages between 5 and 10 LPA.
"Which student was hired by Sopra Steria, and what was their role?",Hiren Matthar was hired by Sopra Steria as a Software Developer with a package of 6 LPA.
Which company hired the most number of students for software roles?,TSS Consultancy hired the most students for software roles.
What is the role and package offered by ETECH Energy Consultancy Pvt Ltd?,ETECH Energy Consultancy Pvt Ltd offered the role of Web Developer with a package of 8.4 LPA.
How many students declined the offers or were not interested?,36 students either declined offers or were not interested in placements.
What is the package range offered to students hired by Parsh Technology?,Parsh Technology offered a package range of 3 to 6 LPA.
"Who was hired by Yudiz Solution, and what were their respective roles?","Shaifan Shaikh and Viral Kamani were hired by Yudiz Solution as Software Developer and DevOps roles, respectively."
Which student was hired by Promact Infotech with a package of 5 LPA?,Dharmi Javiya was hired by Promact Infotech with a package of 5 LPA.
Which company offered the role of DevOps to students with packages above 4 LPA?,STP Web offered DevOps roles to students with packages above 4 LPA.
How many students were offered packages of exactly 6 LPA?,Seven students received offers with packages of exactly 6 LPA.
Which student has the highest package among the Category 3 placements?,Venisha Parmar received the highest package of 8 LPA among Category 3 placements.
"Who was hired by Arsenal Tech, and what was their package?",Divyaraj Chudasama was hired by Arsenal Tech with a package of 8 LPA.
What is the package range offered to students placed in Cat 2?,The package range for Cat 2 placements is 3.6 to 8.4 LPA.
"Which student was placed in two companies simultaneously, and what were their roles?",Mustafa Bharmal was placed in two companies simultaneously—rtCamp and Simform Solution Pvt Ltd.
What is the average package for students placed in Category 2?,The average package for Category 2 students is 5.59 LPA.
Which company offered the role of Web Developer with a package of 8 LPA?,ETECH Energy Consultancy Pvt Ltd offered a Web Developer role with a package of 8 LPA.
What is the total number of students placed in the software domain?,A total of 33 students were placed in the software domain.
Which company hired students for the DevOps role at multiple package ranges?,STP Web hired students for DevOps roles at package ranges of 4–6 LPA.
"Who was hired by Azilen Technologies, and what was their package?",Vedant Bharad was hired by Azilen Technologies with a package of 5.5 LPA.
How many companies offered packages of 5 LPA to students?,Six companies offered packages of 5 LPA to students.
What is the total number of students who received packages below 4 LPA?,Ten students received packages below 4 LPA.
"Which company hired Bhavin Zala, and what was his role and package?",Bhavin Zala was hired by Simform Solution Pvt Ltd as a DevOps engineer with a package of 5.4 LPA.
